                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0109,                0.04545,                0.31818,                 2.9434,              6.426e-05,              6.426e-05,              6.426e-05
                      2,                  2.876,                0.09091,                0.27273,                 2.9414,             0.00013297,             0.00013297,             0.00013297
                      3,                  2.729,                0.13636,                0.31818,                 2.9394,             0.00019886,             0.00019886,             0.00019886
                      4,                 2.5793,                0.18182,                0.31818,                 2.9375,             0.00026192,             0.00026192,             0.00026192
                      5,                 2.3693,                0.22727,                0.31818,                 2.9297,             0.00032215,             0.00032215,             0.00032215
                      6,                 2.1325,                0.22727,                    0.5,                 2.9062,             0.00037956,             0.00037956,             0.00037956
                      7,                 1.9281,                0.22727,                0.59091,                 2.8809,             0.00043413,             0.00043413,             0.00043413
                      8,                 1.7294,                0.18182,                0.68182,                 2.8672,             0.00048588,             0.00048588,             0.00048588
                      9,                 1.4779,                0.18182,                0.72727,                 2.8457,              0.0005348,              0.0005348,              0.0005348
                     10,                 1.3399,                0.22727,                0.72727,                 2.8027,              0.0005809,              0.0005809,              0.0005809
                     11,                 1.1675,                0.22727,                0.72727,                 2.7812,             0.00057263,             0.00057263,             0.00057263
                     12,                0.96541,                0.31818,                0.81818,                 2.7441,             0.00055849,             0.00055849,             0.00055849
                     13,                0.88728,                0.40909,                0.81818,                 2.7148,             0.00054435,             0.00054435,             0.00054435
                     14,                0.79488,                0.27273,                0.77273,                 2.7519,             0.00053022,             0.00053022,             0.00053022
                     15,                0.68777,                0.31818,                0.77273,                 2.7344,             0.00051608,             0.00051608,             0.00051608
                     16,                0.58597,                0.36364,                0.81818,                  2.707,             0.00050194,             0.00050194,             0.00050194
